0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;0;6;0;5;2;1;0;0;14;15;16;10;12;0;3
5;0;0;2;10;12;0;15;0;1;11;3;4;0;0;14
0;0;0;0;0;0;4;0;0;0;0;12;0;0;0;6
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0;0;0;15;2;16;12;6;1;0;0;14;11;8;0;4
0;0;0;5;14;0;0;0;0;0;0;0;0;0;0;0
2;0;0;14;3;15;8;1;6;4;12;7;0;0;0;10
8;4;0;10;6;14;0;0;13;12;0;15;1;3;0;11
0;0;7;6;11;0;16;0;3;10;0;0;2;4;0;5
0;0;0;0;0;0;0;4;0;2;16;0;0;0;0;0
16;0;5;0;13;8;0;10;0;0;7;0;14;0;0;12
0;0;0;7;8;6;0;11;0;0;2;4;0;10;15;0
3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7
0;0;0;12;0;0;0;7;0;15;0;0;5;11;0;0
14;0;0;0;4;13;0;12;11;0;0;5;6;2;0;8
